name,latitude,longitude,phone,address
SURYA PUTHRA PETRO STATION,12.944137,77.529144,8028601770,INDIAN OIL DEALERS SY No 16 PANTHARPALYA RING ROAD KENGERI HOBLI BANGALORE 39
ABHIMAANI FUEL STATION,13.023345,77.51020333,9880601023,PLOT No. 460B IVTH PHASE PEENYA INDL. AREA NALAKADARANAHALLI VILLAGE
SRI VEERABHADRASWAMY PETROLEUM,12.581781,77.431064,9980774326,AGRAHARA VILLAGE CHATRA NH-209 KANAKAPURA RD RAMNAGARAM DIST. RAMANAGARAM DISTRICT
NISARGA SERVICE STATION,14.34139861,74.88517194,9481869832,IOC DEALERS SY NO116 1 YLHALLI TAVAREKERE PO NANDHAGUDI HOBLI hobli
SRI LAKSHMIVENKATESHWARA FUELS,13.04158,77.761002,9845625936,INDIANOIL DEALERS GORAVIGERE GATE BANGALORE RURAL DISTRICT
FUEL ZONE,13.14052,77.61795528,9845356717,SY NO.7/1 HUNSAMARANEHALLI VILLAGE JALA HOBLI
DVR AND SONS,12.9045,77.74655,9611999975,IOC PETROL PUMP SY NO 73 4 VARTHUR SARJAPUR ROAD VILL. HEGGONDANAHALLI
SAINATH SERVICE STATION,17.33915,78.5678,9392695999,IOC DEALERS PLOT NO. 2 & 3 NH 9 VANASTHALIPURAM TELANGANA
SRI SAINARSIMHA FUELS,17.3259,78.4773,9849553344,INDIAN OIL DEALERS SRISAILAM ROAD HYDERABAD TELANGANA
NACHARAM FILLING STATION,17.440968,78.565083,9000725580,SY. NO.51 NACHARAM IDA NACHARAM RANGA REDDY DIST. TELANGANA
EXPRESS WAY FUEL STATION,17.597209,78.056173,8688001833,INDIAN OIL DEALER SY NO. 210(PART)MALKAPUR(V) TELANGANA
SUPERINTENDENT DIST JAILSANGAREDDY,17.552233,78.117443,9494632158,INDIAN OIL DEALER KASIPUR (V) SY NO.114/14DIST JAIL KASIPUR KANDI MANDALSANGA REDDY DIST.
BAGGA HIGHWAY SERVICES,23.1768,72.5738,9979151107,ADALAJ AHMEDABAD SH 41 AT ADALAJ DIST. GANDHINAGAR
GUJARAT STATE CIVIL SUPPLIES(GSCS),23.2331,72.6695,6359945727,KALPATARU FILLING STATION SECTOR 21 GANDHINAGAR 382021 DIST. GANDHINAGAR
ISHWAR PETROLEUM,23.0293,72.475,9824049620,BLOCK NO.303 AMLI-BOPAL ROAD AHMEDABAD.
JAYVIR CIVIL PETROL PUMP,23.0489,72.6048,9747640999,INDIAN OIL DEALER 39 KM OPP.NEW CIVIL HOSPITAL AHMEDA DIST.AHMEDABAD. TEL:375078
MANSA PETROLEUM SALES & SERVIC,23.4246,72.6494,9925226588,INDIAN OIL DEALER OPP. MANSA MARKETING YARD DIST. GANDHINAGAR
MANIAR AUTO CENTRE,22.981,72.5856,9824265935,INDIAN OIL DEALER AHMEDABAD-BOMBAY NH8 DHANILIM AHMEDABAD DIST.AHMEDABAD.
PRINCE GASOLINE,23.167,72.6371,9925126548,AIRPORT ROAD KUDASAN GANDHINAGAR
SIDDHACHAKRA PETROLEUM,23.1618,72.5881,9429128489,INDIAN OIL DEALER ADALAJ - AHMEDABAD SH 41 GANDHINAGAR
SHARDA PETROLEUM SERVICE,23.1141,72.5838,9824387777,INDIAN OIL DEALER CHANDKHEDA DIST.AHMEDABAD PIN 382 424 TEL: 2329137723296777 23298877
VISAT AUTOMOBILES MOTERA,23.0973,72.5891,9825036651,INDIAN OIL DEALER MOTERA DISTT. AHMEDABAD
AMBICA SERVICE STATION,22.7156,72.4648,9726635999,IOC DEALER DHOLKA KHEDA ROAD DIST. AHMEDABAD (185)
SUN PETROGAS,23.0305,72.6142,8128177516,SARASPUR AHMEDABAD AHMEDABAD
RUPAM PETROLEUM,23.0397,72.5956,9327008803,"""OPP.DARIAPUR GATENR IDGAH CHO"" "" DARIAPUR AHMEDABAD"""
BHAKTI PETROLEUM,23.0251,72.6763,9825069252,E-358/359 GVMMLIMITED ODHAV ROAD NH 59 ODHAV AHMEDABAD
KALASHREE AUTOMOBILES,22.8672,72.4577,9979096655,S.NO. 493 VILLAGE BHATH TALUKA DASCROI DISTRICT AHMEDABAD
PUNJAB SERVICE STATION,23.0462,72.6017,9726933777,IBP DEALERBALIA LIMDI NEW CIVIL ROAD DIST:AHMEDABAD
SACHA SAUDA SERVICE STN PVT.LTD,23.022,72.6506,9898010062,PLOT NO 467 GIDC ESTATE ODHAV ROAD AHMEDABAD
UNIQUE RETREADS PVT. LIMITED,22.9746,72.639,9870389494,PLOT NO. 635/B GIDC PHASE 4 VATVA AHMEDABAD
ACCURATE FILLING STATION,23.1251,72.5828,9879526230,SURVEY NO.202/1&23 PARTY CHANDKHEDA S H NO 41 TAL DIST GANDHINAGAR
SHREE LAXMINARAYAN AUTOMOBILES,22.938,72.4558,9979864104,SARKHEJ-BAVLA ROAD NH 8A CHANGODAR DISTT. AHMEDABAD
SHRI SAHAJANAND PETROLEUM,23.3497,72.6435,9859881281,IBP DEALER MANSA GANDHINAGAR ROAD SH 71 DIST.GANDHI NAGARBALWA
ASHIRWAD ENTERPRISE,22.8031,73.0502,9879516635,INDIAN OIL PUMP AT&POST. ALINA TAL. MAHUDHA DIST. KHEDA DIST. KHEDA
RATHWA PETROLEUM,23.0785,72.6886,9898257332,SURVEY No. 31 VILLAGE : BILASIYA TALUKA : DASCROI
